metrics,2021A,2022A,2023A,2024A,2025A,2025E,2026E,2027E,CAGR
Revenue,16434000000.0,23601000000.0,22680000000.0,25785000000.0,34639000000.0,36370950000.0,38553207000.0,40095335280.0,20.5%
Cost of Operations,8505000000.0,12998000000.0,12220000000.0,13060000000.0,17487000000.0,18003620250.0,18698305395.0,19045284258.0,N/A
SG&A,1448000000.0,2336000000.0,2352000000.0,2783000000.0,4144000000.0,4182659250.0,4240852770.0,4210010204.4,N/A
Contribution Profit,7929000000.0,10603000000.0,10460000000.0,12725000000.0,17152000000.0,18367329750.0,19854901605.0,21050051022.0,N/A
Contribution Margin,48.2%,44.9%,46.1%,49.4%,49.5%,50.5%,51.5%,52.5%,N/A
EBITDA,4166000000.0,5534000000.0,4149000000.0,5258000000.0,7275000000.0,14184670500.0,15614048835.0,16840040817.6,N/A
EBITDA Margin,25.3%,23.4%,18.3%,20.4%,21.0%,39.0%,40.5%,42.0%,N/A
SG&A Margin,8.8%,9.9%,10.4%,10.8%,12.0%,11.5%,11.0%,10.5%,N/A
Revenue Growth,N/A,43.6%,-3.9%,13.7%,34.3%,5.0%,6.0%,4.0%,N/A
EPS,2.61,0.85,0.53,1.01,2.67,2.83,3.03,3.18,N/A
PE Ratio,56.06192915876027,76.59543181818181,278.59454332552696,123.58793418647164,80.54065974625145,76.5,72.7,69.1,N/A
