metrics,2021A,2022A,2023A,2024A,2025A,2025E,2026E,2027E,CAGR
Revenue,257637000000.0,282836000000.0,307394000000.0,350018000000.0,402963000000.0,423111150000.0,448497819000.0,466437731760.0,11.8%
Cost of Operations,110939000000.0,126203000000.0,133332000000.0,146306000000.0,162535000000.0,166282681950.0,171774664677.0,173981273946.48,N/A
SG&A,36422000000.0,42291000000.0,44342000000.0,41996000000.0,50175000000.0,50773338000.0,51577249185.0,51308150493.6,N/A
Contribution Profit,146698000000.0,156633000000.0,174062000000.0,203712000000.0,240428000000.0,256828468050.0,276723154323.0,292456457813.52,N/A
Contribution Margin,56.9%,55.4%,56.6%,58.2%,59.7%,60.7%,61.7%,62.7%,N/A
EBITDA,103521000000.0,85160000000.0,97971000000.0,135394000000.0,179962000000.0,206055130050.0,225145905138.0,241148307319.92,N/A
EBITDA Margin,40.2%,30.1%,31.9%,38.7%,44.7%,48.7%,50.2%,51.7%,N/A
SG&A Margin,14.1%,15.0%,14.4%,12.0%,12.5%,12.0%,11.5%,11.0%,N/A
Revenue Growth,N/A,9.8%,8.7%,13.9%,15.1%,5.0%,6.0%,4.0%,N/A
EPS,5.69,4.59,5.84,8.13,10.91,11.57,12.39,13.01,N/A
PE Ratio,25.438718056633302,19.218109951310613,23.907916525509858,23.292381989252682,28.692653400923053,27.3,25.9,24.6,N/A
