metrics,2021A,2022A,2023A,2024A,2025A,2025E,2026E,2027E,CAGR
Revenue,79024000000.0,63054000000.0,54228000000.0,53101000000.0,52853000000.0,55495650000.0,58825389000.0,61178404560.0,-9.6%
Cost of Operations,35209000000.0,36188000000.0,32517000000.0,35756000000.0,34478000000.0,35628207300.0,37177645848.0,38052967636.32,N/A
SG&A,6543000000.0,7002000000.0,5634000000.0,5507000000.0,4607000000.0,4550643300.0,4529554953.0,4404845128.32,N/A
Contribution Profit,43815000000.0,26866000000.0,21711000000.0,17345000000.0,18375000000.0,19867442700.0,21647743152.0,23125436923.68,N/A
Contribution Margin,55.4%,42.6%,40.0%,32.7%,34.8%,35.8%,36.8%,37.8%,N/A
EBITDA,33874000000.0,21299000000.0,11242000000.0,1203000000.0,14354000000.0,15316799400.0,17118188199.0,18720591795.36,N/A
EBITDA Margin,42.9%,33.8%,20.7%,2.3%,27.2%,27.6%,29.1%,30.6%,N/A
SG&A Margin,8.3%,11.1%,10.4%,10.4%,8.7%,8.2%,7.7%,7.2%,N/A
Revenue Growth,N/A,-20.2%,-14.0%,-2.1%,-0.5%,5.0%,6.0%,4.0%,N/A
EPS,4.89,1.95,0.4,-4.38,-0.0589,-0.06,-0.07,-0.07,N/A
PE Ratio,10.48254932554862,13.548095832293486,124.65808170515098,-4.63233098741736,-658.3790262172286,-625.5,-594.2,-564.5,N/A
