metrics,2022A,2023A,2024A,2025A,2026A,2025E,2026E,2027E,CAGR
Revenue,26914000000.0,26974000000.0,60922000000.0,130497000000.0,215938000000.0,226734900000.0,240338994000.0,249952553760.0,68.3%
Cost of Operations,9439000000.0,11618000000.0,16621000000.0,32639000000.0,62475000000.0,63259037100.0,64651189386.0,64737711423.84,N/A
SG&A,2166000000.0,2440000000.0,2654000000.0,3491000000.0,4579000000.0,3627758400.0,2643728934.0,1499715322.56,N/A
Contribution Profit,17475000000.0,15356000000.0,44301000000.0,97858000000.0,153463000000.0,163475862900.0,175687804614.0,185214842336.16,N/A
Contribution Margin,64.9%,56.9%,72.7%,75.0%,71.1%,72.1%,73.1%,74.1%,N/A
EBITDA,11351000000.0,5986000000.0,35583000000.0,86137000000.0,144552000000.0,159848104500.0,173044075680.0,183715127013.6,N/A
EBITDA Margin,42.2%,22.2%,58.4%,66.0%,66.9%,70.5%,72.0%,73.5%,N/A
SG&A Margin,8.0%,9.0%,4.4%,2.7%,2.1%,1.6%,1.1%,0.6%,N/A
Revenue Growth,N/A,0.2%,125.9%,114.2%,65.5%,5.0%,6.0%,4.0%,N/A
EPS,0.39,0.18,1.21,2.97,4.93,5.23,5.6,5.88,N/A
PE Ratio,62.68154224774405,109.09093406593406,51.82742943548387,39.89850576289792,37.74531619845587,35.9,34.1,32.4,N/A
